{'class_index': 33, 'class_label': 'onion', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 74, 'TN': 3374, 'FP': 0, 'FN': 0}}    
{'class_index': 34, 'class_label': 'orange', 'metrics': {'precision': 0.9861111111111112, 'recall': 1.0, 'f1_score': 0.993006993006993, 'TP': 71, 'TN': 3376, 'FP': 1, 'FN': 0}}
{'class_index': 35, 'class_label': 'peach', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 67, 'TN': 3381, 'FP': 0, 'FN': 0}}    
{'class_index': 36, 'class_label': 'pear', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 55, 'TN': 3393, 'FP': 0, 'FN': 0}}
{'class_index': 37, 'class_label': 'pitcher', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 55, 'TN': 3393, 'FP': 0, 'FN': 0}}  
{'class_index': 38, 'class_label': 'plate', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 69, 'TN': 3379, 'FP': 0, 'FN': 0}}    
{'class_index': 39, 'class_label': 'pliers', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 56, 'TN': 3392, 'FP': 0, 'FN': 0}}   
{'class_index': 40, 'class_label': 'potato', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 54, 'TN': 3394, 'FP': 0, 'FN': 0}}   
{'class_index': 41, 'class_label': 'rubber_eraser', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 84, 'TN': 3364, 'FP': 0, 'FN': 0}}
{'class_index': 42, 'class_label': 'scissors', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 61, 'TN': 3387, 'FP': 0, 'FN': 0}} 
{'class_index': 43, 'class_label': 'shampoo', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 68, 'TN': 3380, 'FP': 0, 'FN': 0}}  
{'class_index': 44, 'class_label': 'soda_can', 'metrics': {'precision': 0.9848484848484849, 'recall': 1.0, 'f1_score': 0.9923664122137404, 'TP': 65, 'TN': 3382, 'FP': 1, 'FN': 0}}
{'class_index': 45, 'class_label': 'sponge', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 71, 'TN': 3377, 'FP': 0, 'FN': 0}}   
{'class_index': 46, 'class_label': 'stapler', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 45, 'TN': 3403, 'FP': 0, 'FN': 0}}  
{'class_index': 47, 'class_label': 'tomato', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 62, 'TN': 3386, 'FP': 0, 'FN': 0}}   
{'class_index': 48, 'class_label': 'toothbrush', 'metrics': {'precision': 1.0, 'recall': 0.9833333333333333, 'f1_score': 0.9915966386554621, 'TP': 59, 'TN': 3388, 'FP': 0, 'FN': 1}}
{'class_index': 49, 'class_label': 'toothpaste', 'metrics': {'precision': 0.9625, 'recall': 1.0, 'f1_score': 0.980891719745223, 'TP': 77, 'TN': 3368, 'FP': 3, 'FN': 0}}
{'class_index': 50, 'class_label': 'water_bottle', 'metrics': {'precision': 1.0, 'recall': 1.0, 'f1_score': 1.0, 'TP': 59, 'TN': 3389, 'FP': 0, 'FN': 0}}
